Year,Nest,Nest.Year,Substrate,Substrate2
2012,5aJ-1,5aJ-1_2012,Boxthorn,Boxthorn
2012,2D-1,2D-1_2012,Boxthorn,Boxthorn
2012,2L-1,2L-1_2012,Boxthorn,Boxthorn
2012,1C-1,1C-1_2012,Boxthorn,Boxthorn
2012,5bF-2,5bF-2_2012,Boxthorn,Boxthorn
2012,3N-2,3N-2_2012,Boxthorn,Boxthorn
2012,5bT-1,5bT-1_2012,Boxthorn,Boxthorn
2012,4D-2,4D-2_2012,Boxthorn,Boxthorn
2012,5bV-1,5bV-1_2012,Boxthorn,Boxthorn
2012,3B-2,3B-2_2012,Boxthorn,Boxthorn
2012,2R-1,2R-1_2012,Boxthorn,Boxthorn
2013,010,010_2013,Boxthorn,Boxthorn
2013,011,011_2013,Russian Thistle,Other
2013,107,107_2013,Boxthorn,Boxthorn
2013,110,110_2013,Artemesia,Artemesia
2013,201,201_2013,Boxthorn,Boxthorn
2013,202,202_2013,Boxthorn,Boxthorn
2013,204,204_2013,Grass,Other
2013,309,309_2013,Boxthorn,Boxthorn
2013,402,402_2013,Boxthorn,Boxthorn
2013,403,403_2013,Boxthorn,Boxthorn
2013,405,405_2013,Artemesia,Artemesia
2013,504,504_2013,Boxthorn,Boxthorn
2013,509,509_2013,Boxthorn,Boxthorn
2013,510,510_2013,Boxthorn,Boxthorn
2013,515,515_2013,Boxthorn,Boxthorn
2013,516,516_2013,Boxthorn,Boxthorn
2013,518,518_2013,Russian Thistle,Other
2013,519,519_2013,Lotus,Other
2013,521,521_2013,Boxthorn,Boxthorn
2014,114,114_2014,Tarplant,Other
2014,117,117_2014,Boxthorn,Boxthorn
2014,118,118_2014,Sunflower,Other
2014,207,207_2014,Boxthorn,Boxthorn
2014,227,227_2014,Boxthorn,Boxthorn
2014,230,230_2014,Boxthorn,Boxthorn
2014,303,303_2014,Artemesia,Artemesia
2014,304,304_2014,Boxthorn,Boxthorn
2014,307,307_2014,Artemesia,Artemesia
2014,403,403_2014,Boxthorn,Boxthorn
2014,407,407_2014,Prickly Pear,Other
2014,501,501_2014,Boxthorn,Boxthorn
2015,001,001_2015,Cholla,Other
2015,004,004_2015,Boxthorn,Boxthorn
2015,008,008_2015,Boxthorn,Boxthorn
2015,009,009_2015,Prickly Pear,Other
2015,200,200_2015,Boxthorn,Boxthorn
2015,006,006_2015,Boxthorn,Boxthorn
2015,401,401_2015,Butterweed,Other
2015,002,002_2015,Boxthorn,Boxthorn
2015,005,005_2015,Boxthorn,Boxthorn
2015,403,403_2015,Boxthorn,Boxthorn
2015,029,029_2015,Tarplant,Other
2015,201,201_2015,Artemesia,Artemesia
2015,024,024_2015,Boxthorn,Boxthorn
2015,301,301_2015,Boxthorn,Boxthorn
2015,404,404_2015,Morning Glory,Other
2015,113,113_2015,Boxthorn,Boxthorn
2015,510,510_2015,Artemesia,Artemesia
2015,032,032_2015,Boxthorn,Boxthorn
2016,008,008_2016,Boxthorn,Boxthorn
2016,508,508_2016,Morning Glory,Other
2016,505,505_2016,Boxthorn,Boxthorn
2016,201,201_2016,Boxthorn,Boxthorn
2016,019,019_2016,Artemesia,Artemesia
2016,014,014_2016,Boxthorn,Boxthorn
2016,202,202_2016,Boxthorn,Boxthorn
2016,303,303_2016,Pholistoma,Other
2016,020,020_2016,Artemesia,Artemesia
2016,030,030_2016,Boxthorn,Boxthorn
2016,205,205_2016,Boxthorn,Boxthorn
2016,034,034_2016,Boxthorn,Boxthorn
2016,104,104_2016,Boxthorn,Boxthorn
2016,414,414_2016,Boxthorn,Boxthorn
2016,040,040_2016,Artemesia,Artemesia
2016,043,043_2016,Boxthorn,Boxthorn
2016,046,046_2016,Artemesia,Artemesia
2017,003,003_2017,Boxthorn,Boxthorn
2017,012,012_2017,Boxthorn,Boxthorn
2017,115,115_2017,Artemesia,Artemesia
2017,106,106_2017,Morning Glory,Other
2017,502,502_2017,Baccharus,Other
2017,203,203_2017,Boxthorn,Boxthorn
2017,051,051_2017,Artemesia,Artemesia
2017,068,068_2017,Boxthorn,Boxthorn
2017,405,405_2017,Wishbone,Other
2017,069,069_2017,Artemesia,Artemesia
2017,140,140_2017,Artemesia,Artemesia
2017,078,078_2017,Boxthorn,Boxthorn
2017,601,601_2017,Baccharus,Other
2017,147,147_2017,Baccharus,Other
2018,047,047_2018,Artemesia,Artemesia
2018,018,018_2018,Boxthorn,Boxthorn
2018,045,045_2018,Boxthorn,Boxthorn
2018,025,025_2018,Boxthorn,Boxthorn
2018,009,009_2018,Boxthorn,Boxthorn
2018,017,017_2018,Boxthorn,Boxthorn
2019,005,005_2019,Boxthorn,Boxthorn
2019,501,501_2019,Boxthorn,Boxthorn
2019,012,012_2019,Boxthorn,Boxthorn
2019,022,022_2019,Boxthorn,Boxthorn
2019,029,029_2019,Boxthorn,Boxthorn
2019,036,036_2019,Boxthorn,Boxthorn
2019,410,410_2019,Boxthorn,Boxthorn
2019,043,043_2019,Boxthorn,Boxthorn
2019,412,412_2019,Lotus,Other
2019,211,211_2019,Prickly Pear,Other
2019,048,048_2019,Boxthorn,Boxthorn
2019,415,415_2019,Boxthorn,Boxthorn
2019,303,303_2019,Artemesia,Artemesia
2019,420,420_2019,Boxthorn,Boxthorn
2019,421,421_2019,Boxthorn,Boxthorn
2019,063,063_2019,Boxthorn,Boxthorn
